Recipient,DI_dest_orgtype,DI_dest_ngotype,DI_dest_deliverychannel,id
ACT Alliance / Diakonie,NGOs,International NGO,NGOs and CSOs,8551
ACT Alliance / Diakonie Austria,NGOs,,NGOs and CSOs,8584
ACT Alliance / Diakonie Emergency Aid,NGOs,International NGO,NGOs and CSOs,8477
ACT Alliance / Diakonie Katastrophenhilfe,NGOs,International NGO,NGOs and CSOs,7361
ACT Alliance / Ethiopian Orthodox Church,NGOs,,NGOs and CSOs,8460
ACT Alliance / Finn Church Aid,NGOs,International NGO,NGOs and CSOs,8500
ACT Alliance / Finnchurchaid/ Mines Advisory Group,NGOs,,NGOs and CSOs,8574
ACT Alliance / Hungarian Interchurch Aid,NGOs,,NGOs and CSOs,8540
ACT Alliance / Icelandic Church Aid,NGOs,,NGOs and CSOs,8536
ACT Alliance / Interchurch Organisation for Development Co-operation,NGOs,,NGOs and CSOs,8595
ACT Alliance / Kerk in Actie - Netherlands,NGOs,International NGO,NGOs and CSOs,8483
ACT Alliance / Life With Dignity,NGOs,,NGOs and CSOs,8530
ACT Alliance / Lutheran Development Service,NGOs,,NGOs and CSOs,8552
ACT Alliance / Lutheran World Federation,NGOs,International NGO,NGOs and CSOs,8522
ACT Alliance / Lutheran World Federation Nepal,NGOs,,NGOs and CSOs,8527
ACT Alliance / Lutheran World Relief,NGOs,International NGO,NGOs and CSOs,8521
ACT Alliance / Lutheran World Relief (LWR/Canada),NGOs,International NGO,NGOs and CSOs,8593
ACT Alliance / National Council of Churches of Kenya,NGOs,,NGOs and CSOs,8604
ACT Alliance / Norwegian Church Aid,NGOs,International NGO,NGOs and CSOs,8539
ACT Alliance / Solidarité Protestante,NGOs,,NGOs and CSOs,8563
ACT Alliance / Sudan Council of Churches,NGOs,,NGOs and CSOs,5069
ACT Alliance / United Church of Canada,NGOs,,NGOs and CSOs,8475
ACT Alliance / United Methodist Committee on Relief,NGOs,International NGO,NGOs and CSOs,8571
ACT Alliance / World Renew,NGOs,International NGO,NGOs and CSOs,8630
ACT Alliance / YAKKUM Emergency Unit,NGOs,,NGOs and CSOs,8436
Action Africa Help International,NGOs,Southern International NGO,NGOs and CSOs,5197
Action Against Disasters Somalia,NGOs,National NGO,NGOs and CSOs,3226
Action Against Hunger,NGOs,International NGO,NGOs and CSOs,9257
Action Against Hunger - Canada,,,,8467
Action Against Hunger - UK,,,,8458
Action Against Hunger - USA,,,,8569
Action by Churches Together (ACT),NGOs,,NGOs and CSOs,NA
Action Chretienne pour combattre la pauvretre et l'analphabetisme,NGOs,,NGOs and CSOs,999
Action Chrétienne Tous pour la Solidarité,NGOs,National NGO,NGOs and CSOs,6654
Action Contre la Faim,NGOs,International NGO,NGOs and CSOs,4536
Action Contre la Faim | ACF - France,NGOs,International NGO,NGOs and CSOs,NA
Action Contre la Pauvreté,NGOs,Local/National NGO,NGOs and CSOs,3331
Action Contre la Pauvreté (ACP),NGOs,National NGO,NGOs and CSOs,NA
Action d'Espoir,NGOs,National NGO,NGOs and CSOs,6458
Action d'Urgence International,NGOs,,NGOs and CSOs,3757
Action de Dévelopement Durable en Afrique,NGOs,,NGOs and CSOs,5938
Action de lutte contre la pollution des sources et des puits,other,,Other,1506
Action des Volontaires Unis pour le Développement et la Santé,NGOs,National NGO,NGOs and CSOs,11198
Action for Community Transformation Organization - Afghanistan,NGOs,,NGOs and CSOs,4221
Action for Development,NGOs,Southern International NGO,NGOs and CSOs,540
Action for Independent Media,other,,Other,2756
Action for Peace and Sustainable Development,NGOs,,NGOs and CSOs,6460
Action for Population and Sustainable Development,NGOs,National NGO,NGOs and CSOs,7205
Action for Relief and Development,NGOs,Southern International NGO,NGOs and CSOs,336
Action for Social and Economic Progress,,,,2685
Action for Social Development,NGOs,,,10660
Action for Social Development and Environmental Protection Organization,NGOs,National NGO,NGOs and CSOs,11641
Action for the Needy in Ethiopia,NGOs,National NGO,NGOs and CSOs,12075
Action for Youth & Environmental Development,other,,Other,619
Action Health Incorporated,NGOs,National NGO,NGOs and CSOs,8853
Action Intégrée pour le Développement et la protection de l'Environnement,NGOs,National NGO,NGOs and CSOs,11150
Action Locale pour un Développement Participatif et Autogéré,NGOs,,,7867
action medeor,NGOs,International NGO,NGOs and CSOs,2186
action medeor e.V.,NGOs,International NGO,NGOs and CSOs,NA
Action Mopti,NGOs,International NGO,NGOs and CSOs,6093
Action of the Future,NGOs,Local NGO,NGOs and CSOs,12131
Action on Armed Violence,NGOs,,NGOs and CSOs,6852
Action pour la Promotion de la Santé de la Mère et de lâ€™Enfant,NGOs,,,NA
Action pour la Promotion de la Santé de la Mère et de l’Enfant,NGOs,,,11234
Action pour la Promotion de lâ€™Environnement Social,NGOs,,,NA
Action pour la Promotion de l’Environnement Social,NGOs,Local NGO,NGOs and CSOs,11199
Action pour la Promotion du Bien Etre Social,NGOs,National NGO,NGOs and CSOs,9388
"Action pour la Protection de la Santé Humaine, Animale et Végétale",NGOs,,,11960
Action pour le Bien Etre Communautaire (ABC),NGOs,,NGOs and CSOs,1325
Action pour le Développement du Sahel,NGOs,National NGO,NGOs and CSOs,8109
Action pour le Développement Intégral au Kivu,NGOs,,NGOs and CSOs,215
Action pour un Monde Uni,NGOs,International NGO,NGOs and CSOs,2041
Action Solidaire aux Vulnérables,Undefined,,Other,8640
Action Solidarité Tiers Monde,NGOs,,NGOs and CSOs,1575
ActionAid International,NGOs,International NGO,NGOs and CSOs,3348
ActionAid International Democratic Republic of the Congo,NGOs,,,11531
ActionAid International Myanmar,NGOs,Internationally affiliated NGO,NGOs and CSOs,12105
ActionAid International Nepal,NGOs,,NGOs and CSOs,1860
ActionAid International Nigeria,NGOs,Internationally Affiliated NGO,NGOs and CSOs,9599
ActionAid International Uganda,NGOs,,NGOs and CSOs,2179
ActionAid International Zimbabwe,NGOs,Internationally affiliated NGO,NGOs and CSOs,4674
Actions Concrète pour la Protection de l'Enfance,NGOs,Local NGO,NGOs and CSOs,8642
Actions et Interventions pour le Développement et l'Encadrement Social,NGOs,Local NGO,NGOs and CSOs,6130
Actions Médicales Internationale,NGOs,International NGO,NGOs and CSOs,3443
Actions pour la Protection et lâ€™Encadrement de lâ€™Enfant,NGOs,,,NA
Actions pour la Protection et l’Encadrement de l’Enfant,NGOs,,NGOs and CSOs,4026
Actions pour le Developpement Integre en Mileu Rural,NGOs,,NGOs and CSOs,4271
Actions pour le Développement Intégral par la Conservation Communautaire,NGOs,National NGO,NGOs and CSOs,11200
Active Development Aid,NGOs,,NGOs and CSOs,4245
Active in Development Aid,NGOs,,NGOs and CSOs,3053
Active Learning Network for Accountability and Performance,academia/think/research,,NGOs and CSOs,2863
Active Youth Agency,NGOs,National NGO,NGOs and CSOs,760
ACU/START,other,,Other,1966
Acumet Catholic Parish,private individual/organisation,,NGOs and CSOs,4668
Ad Council,NGOs,,NGOs and CSOs,621
ADA,DAC governments,,Public Sector,4561
Adam's Peak,other,,Other,2804
Admira,NGOs,,NGOs and CSOs,4047
ADRA/SCDO,NGOs,,NGOs and CSOs,3326
ADU_04,other,,Other,3930
Advancement for Small Enterprise Programme,NGOs,,NGOs and CSOs,4152
Adventist Development and Relief Agency,NGOs,International NGO,NGOs and CSOs,4695
"Advocacy, Research, Training and Services (ARTS) Foundation",NGOs,,,1927
Advocates Coalition for Rights and Development,NGOs,National NGO,NGOs and CSOs,986
Aertze der Welt e.V.,NGOs,International NGO,NGOs and CSOs,5150
Aerzte für die Dritte Welt,NGOs,,NGOs and CSOs,4631
AFAK Future for Capacity Building,NGOs,Southern International NGO,NGOs and CSOs,7403
Afaq Academy,NGOs,,,7224
Afghan Amputee Bicyclists for Rehabilitation And Recreation,NGOs,,,11363
Afghan Center,other,,Other,1298
Afghan Development Association,NGOs,,NGOs and CSOs,4108
Afghan Global Development Organization,NGOs,,NGOs and CSOs,5846
Afghan Health & Development Services,NGOs,National NGO,NGOs and CSOs,5354
Afghan Health and Social Assistance Organisation,NGOs,,NGOs and CSOs,1967
Afghan Mobile Reconstruction Association,NGOs,,NGOs and CSOs,1973
Afghan NGO Security Office,NGOs,,NGOs and CSOs,6919
Afghan Planning Agency,NGOs,National NGO,NGOs and CSOs,8043
Afghan Reconstruction Trust Fund,Other pooled,,Other multi,1481
Afghan Red Crescent,red cross,,RCRC,2715
Afghan Research and Evaluation Unit,academia/think/research,,NGOs and CSOs,4022
Afghan Social and Agricultural Affairs Rehabilitation Organization,other,,Other,6099
Afghan Technical Consultants,private individual/organisation,,NGOs and CSOs,2720
Afghan Women Association for Rehabilitation & Development,NGOs,,NGOs and CSOs,575
Afghan Women Rights Organization,NGOs,,,11715
Afghan Women's Educational Center,NGOs,National NGO,NGOs and CSOs,5125
Afghanaid,NGOs,International NGO,NGOs and CSOs,2937
Afghanischer Arzteverein in Deutschland e.V.,NGOs,,NGOs and CSOs,4705
Afghanistan,National government,,Public Sector,3089
Afghanistan Center for Training and Development,NGOs,National NGO,NGOs and CSOs,5888
Afghanistan Demain,NGOs,,NGOs and CSOs,1411
Afghanistan Development & Educational Organization,NGOs,,NGOs and CSOs,4986
Afghanistan ERF (until 2014),CBPF,,UN Multi,7871
Afghanistan Humanitarian Fund,CBPF,,UN Multi,8148
Afghanistan Independent Human Rights Commission,other,,Other,4160
Afghanistan Landmine Survivors' Organisation,NGOs,,NGOs and CSOs,1396
Afghanistan National Re-Construction Co-ordination,NGOs,,,1073
Afghanistan Solidarity Organization,NGOs,,NGOs and CSOs,1974
Afghanistan-Hilfe e.V.,NGOs,,NGOs and CSOs,3931
Afghanistankomiteen i Norge,NGOs,,NGOs and CSOs,5961
Afkar Foundation,NGOs,Southern International NGO,NGOs and CSOs,10401
Afkar Society for Development and Human Relief,NGOs,National NGO,NGOs and CSOs,4470
Africa 2000 Network,NGOs,,NGOs and CSOs,3165
Africa Centre for Holistic Management,private individual/organisation,,NGOs and CSOs,3682
Africa Development Aid,NGOs,National NGO,NGOs and CSOs,8158
Africa Development Corps,NGOs,,NGOs and CSOs,7514
Africa Development Initiative,NGOs,National NGO,NGOs and CSOs,10595
Africa Directo,NGOs,,NGOs and CSOs,3447
Africa Educational Trust,NGOs,,NGOs and CSOs,3028
Africa Humanitarian Action,NGOs,Southern International NGO,NGOs and CSOs,2181
Africa Muslims Agency (Johannesburg),NGOs,,NGOs and CSOs,1902
Africa Relief Committee,Undefined,,Other,6953
Africa Solidarity Trust Fund,Other pooled,,Other multi,5776
African Child Outreach Trust,NGOs,,NGOs and CSOs,1390
African Christian Kush Aid Program,NGOs,,,9698
African Commission Human and People's Rights,NGOs,,NGOs and CSOs,2239
African Development and Emergency Organisation,NGOs,,NGOs and CSOs,2324
African Development Bank,Other multi,,Other multi,3787
African Development Solutions,NGOs,Southern International NGO,NGOs and CSOs,6853
African Disability Association,NGOs,Southern International NGO,NGOs and CSOs,8788
African Entrepreneur Collective,foundations,,NGOs and CSOs,8891
African Humanitarian Corps,NGOs,Southern International NGO,NGOs and CSOs,9044
African Initatives for Relief and Development,NGOs,Southern International NGO,NGOs and CSOs,6814
African Medical and Research Foundation,NGOs,Southern International NGO,NGOs and CSOs,4292
African Mission in Burundi,other,,Other,5327
African Network for the Prevention and Protection Against Child Abuse and Neglect,NGOs,Southern International NGO,NGOs and CSOs,6622
African Network for the Prevention and Protection Against Child Abuse and Neglect in Somalia,NGOs,Southern International NGO,NGOs and CSOs,NA
African Relief and Development,NGOs,Southern International NGO,NGOs and CSOs,6112
African Relief Service (Central African Republic),NGOs,National NGO,NGOs and CSOs,10259
African Rescue Committee,NGOs,,NGOs and CSOs,4161
African Revival Ministries,NGOs,,NGOs and CSOs,2829
African Union,Other multi,,Other multi,3850
African Union Mission in Somalia,Other multi,,Other multi,1621
African Union Mission in Sudan,Other multi,,Other multi,2806
African Volunteers for Relief and Development,NGOs,National NGO,NGOs and CSOs,627
Africare,NGOs,,NGOs and CSOs,3031
Africare/Catholic Relief Services,NGOs,International NGO,NGOs and CSOs,4078
Afrique Secours Assistance,NGOs,National NGO,NGOs and CSOs,1034
Afrique Verte Mali,NGOs,,NGOs and CSOs,2790
Afrique Verte Niger,NGOs,,NGOs and CSOs,5231
Afro-Canadian Evangelical Mission,NGOs,National NGO,NGOs and CSOs,4492
Aga Khan Agency for Habitat,NGOs,,,11546
Aga Khan Development Network,NGOs,,NGOs and CSOs,1971
Aga Khan Foundation,NGOs,International NGO,NGOs and CSOs,4761
Aga Khan Foundation Tajikistan,NGOs,,NGOs and CSOs,3101
Agaji Global Unity Foundation,NGOs,,,9417
Age International,NGOs,International NGO,NGOs and CSOs,10624
AGEF,NGOs,,NGOs and CSOs,1502
Agence d'Assistance aux Rapatries et Refugies au Congo,NGOs,,NGOs and CSOs,2738
Agence de Développement Economique et Social,NGOs,Southern International NGO,NGOs and CSOs,6783
Agence Humanitaire Africaine,NGOs,Southern International NGO,NGOs and CSOs,1230
Agency for Assistance and Development of Afghanistan,NGOs,National NGO,NGOs and CSOs,6565
Agency for Cooperation and Research in Development,NGOs,Southern International NGO,NGOs and CSOs,2175
Agency for Development and Aid,NGOs,,,3245
Agency for Peace and Development,NGOs,,NGOs and CSOs,1560
Agency for Rehabilitation and Development,NGOs,,NGOs and CSOs,4711
Agency for rehabilitation and Energy-Conservation in Afghanistan,NGOs,,NGOs and CSOs,4550
Agency for Technical Cooperation and Development,NGOs,International NGO,NGOs and CSOs,2886
Agency for Technical Cooperation and Development | Concern Worldwide | Deutsche Welthungerhilfe e.V. (German Agro Action),other,,Other,NA
Agglobe Services International and the Korean Unpasan General Trading Company,other,,Other,3592
AGHSAN,other,,Other,807
Agility,private sector corporations,,Other,NA
Agility Logistics,private sector corporations,,Other,3698
Agir en Centrafrique,NGOs,International NGO,NGOs and CSOs,10921
Agri-Systems,private sector corporations,,Other,2941
Agricultural and Environmental Development Society,other,,Other,3346
Agricultural Cooperative Development International and Volunteers in Overseas Cooperative Assistance,NGOs,International NGO,NGOs and CSOs,4901
Agricultural Development Association,NGOs,National NGO,NGOs and CSOs,NA
Agricultural Development Organisation,NGOs,National NGO,NGOs and CSOs,1394
Agriculture Development Association,NGOs,Local/National NGO,NGOs and CSOs,2753
Agriculture Development Association (formerly Palestinian Agricultural Relief Committees),NGOs,,,NA
Agriterra,private sector corporations,,Other,2820
AGROCARE Community Development Association,private individual/organisation,,NGOs and CSOs,1128
Agronomes et Vétérinaires Sans Frontières,NGOs,International NGO,NGOs and CSOs,5175
AGROSPHERE,NGOs,,NGOs and CSOs,161
AH Dames Suisse,NGOs,,NGOs and CSOs,61
Ahl Horan Organization,NGOs,,,9519
AiBi Associazione Amici dei Bambini,NGOs,International NGO,NGOs and CSOs,7309
AICF-F,other,,Other,3766
Aid for Central Africa,Other multi,,Other multi,4553
Aid for Refugees and Orphans,NGOs,,NGOs and CSOs,5710
AID LINK Organization,,,,11921
Aid Link South Sudan,NGOs,,,NA
Aid Relief Agency for Reintegration and Development,other,,Other,524
Aid Support Community Organization,NGOs,Local NGO,NGOs and CSOs,7710
Aid Vision,NGOs,Local NGO,NGOs and CSOs,7881
Aide et Action,NGOs,,NGOs and CSOs,3918
Aide Médicale  Internationale (until 2010),NGOs,,NGOs and CSOs,2488
Aide Á  l''Enfance de l''Inde,NGOs,,,NA
Aide Á  l'Enfance de Canada,NGOs,,,NA
Aide Á  l'Enfance de l'Inde et du Nepal,,,,NA
Aide í  l''Enfance de l''Inde,NGOs,International NGO,NGOs and CSOs,NA
Aide í  l'Enfance de Canada,NGOs,,NGOs and CSOs,NA
AIDER,other,,Other,3946
Aids Foundation for Children,other,,Other,4965
Air Cargo Associates,private sector corporations,,Other,3556
AIR CHARTER SERVICE,private sector corporations,,Other,9315
Air Charter World,private sector corporations,,Other,2222
Air Serv International,NGOs,,NGOs and CSOs,3235
Airline Cargo Service,private sector corporations,,Other,5267
Airlink,private sector corporations,,Other,6535
AISHA Association for Woman and Child Protection,NGOs,National NGO,NGOs and CSOs,6173
Ajialouna Organization,NGOs,,,11270
Akkar Network for Development,NGOs,,NGOs and CSOs,8081
Akkarouna,NGOs,Local NGO,NGOs and CSOs,11179
Aktion Afrika,NGOs,International NGO,NGOs and CSOs,4294
Aktion Afrika Hilfe,NGOs,International NGO,NGOs and CSOs,NA
Aktion Deutschland Hilft,NGOs,International NGO,NGOs and CSOs,2398
Al Afia Fund Charity,NGOs,Local/National NGO,NGOs and CSOs,7118
Al Afran Media and Culture,other,,Other,4466
Al Amal For Development & Social Care,NGOs,,,11803
Al Anbar Center for Humanitarian Relief,other,,Other,4462
Al Basar Foundation,NGOs,International NGO,NGOs and CSOs,592
Al Dia'a Humanitarian Association,,,,11019
Al Diaa Humanitarian Association,NGOs,Local NGO,NGOs and CSOs,NA
Al Gharraa Charity organization,,,,1192
Al Ghina Charitable Society,NGOs,,,11530
Al Hadatha Association,NGOs,National NGO,NGOs and CSOs,8669
Al Hussein Society Jordan Center for Training and Inclusion (AHS),NGOs,National NGO,NGOs and CSOs,1597
Al Ihsan NGO,NGOs,Local NGO,NGOs and CSOs,818
Al Khair Relief Development Foundation,NGOs,International NGO,NGOs and CSOs,8355
Al Maktoum Foundation,foundations,,NGOs and CSOs,5844
Al Mamoura Humanitarian Establishment,NGOs,Local NGO,NGOs and CSOs,2323
Al Mezan Center for Human Rights,NGOs,National NGO,NGOs and CSOs,959
Al Mithaq,NGOs,Undefined NGO,NGOs and CSOs,9326
Al Resala Foundation,NGOs,,,7225
Al Sham Humanitarian Foundation,foundations,,Other,7092
Al Taalouf Charity Association,Undefined,,Other,6954
Al Tamayouz for Orphan Sponsorship / Social Care Association,NGOs,,,6543
Al Wasel Association,NGOs,National NGO,NGOs and CSOs,10362
Al Yasra Food Company,private sector corporations,,Other,7095
Al Zubair Charity Organisation,NGOs,,NGOs and CSOs,1352
Al-Afeea Fund,other,,Other,534
Al-Aghsan Foundation for Agricultural and Environmental Development,NGOs,,,11479
Al-Ahleya Association for the development of palm and dates,NGOs,,NGOs and CSOs,1458
Al-Amal Charity Organization for the Disabled,NGOs,,NGOs and CSOs,1110
Al-Amal Community for Social Welfare,other,,Other,4444
Al-Aman Organization for Blind Women Care,NGOs,National NGO,NGOs and CSOs,7456
Al-Ameen for Humanitarian Support,NGOs,Southern International NGO,NGOs and CSOs,7262
Al-Atta for Relief and Development,NGOs,National NGO,NGOs and CSOs,9872
Al-Atta Institution for Social Development and Charity,NGOs,National NGO,NGOs and CSOs,8258
Al-Badyah Charitable Foundation,NGOs,Undefined NGO,NGOs and CSOs,8850
Al-Baida Coalition for Relief and Humanitarian Actions,NGOs,Undefined NGO,NGOs and CSOs,8926
Al-basar International Foundation,NGOs,Southern International NGO,NGOs and CSOs,10111
Al-Bir Wa Al-Ehsan Association in Ras AlAin (Al-Bir Wa Al-Ehsan in Ras AlAin),Undefined,,Other,8068
Al-Birr Association for Charity and Social Services,NGOs,National NGO,NGOs and CSOs,7119
Al-Gharaa Charity Organization,NGOs,,NGOs and CSOs,NA
Al-Hikma Al-Yamania Association for Charity,NGOs,National NGO,NGOs and CSOs,8332
Al-Huda Charitable Humanitarian Association,NGOs,,,9089
Al-Jamia Saadat Ul Uloom Trust,NGOs,,,11086
Al-Jamia Saadatul Uloom Trust,academia/think/research,,Other,NA
Al-Khair Foundation,NGOs,,,7342
Al-Khair Foundation (AKF),NGOs,International NGO,NGOs and CSOs,NA
Al-Khanjar Foundation,NGOs,,NGOs and CSOs,6250
Al-Khidmat Foundation,foundations,,NGOs and CSOs,5793
Al-Madinah International University,,,,12403
Al-Nahrain Foundation for Relief and Development,NGOs,National NGO,NGOs and CSOs,10092
Al-Ofiq Organization for Development and Emergency,other,,Other,532
Al-Rahma Hospital Djibouti,Other,,Other,12026
Al-Sabeel Foundation for Social Development,foundations,,NGOs and CSOs,1101
Al-Twasul For Human Development,NGOs,National NGO,NGOs and CSOs,7949
Al-Yousser Organization for Assistance & Rehabilitation Assistance & Rehabilitation Assistance & Rehabilitation,other,,Other,4476
Alaska Sudan Medical Project,NGOs,,NGOs and CSOs,6582
Alawn Foundation for Development,foundations,,NGOs and CSOs,682
Albania,National government,,Public Sector,3943
Albanian Red Cross,red cross,,RCRC,4797
AlBasar Foundation,NGOs,Southern International NGO,NGOs and CSOs,NA
Alber Charity Society,Other,,Other,4510
ALDHU - Latin American Association for Human Rights,NGOs,,NGOs and CSOs,2465
Alegtinam Human Development Organization,NGOs,,,11475
Alemdad Charity Association,NGOs,,,8199
Alfajr Palestinian Youth Association,NGOs,,NGOs and CSOs,7584
Algeria,National government,,Public Sector,4542
Algerian Red Crescent,red cross,,RCRC,2669
Aliadas en Cadena A.C.,NGOs,Local/National NGO,NGOs and CSOs,11028
Alianza Internacional Cielos Abiertos,NGOs,National NGO,NGOs and CSOs,10253
Alianza por la Solidaridad,NGOs,International NGO,NGOs and CSOs,8673
ALICORP,private sector corporations,,Other,4050
Alimenta La Solidaridad,NGOs,National NGO,NGOs and CSOs,10237
Alinea Whitelum,private sector corporations,,Other,12060
Alinshat Area  Association (Inshaat),NGOs,National NGO,NGOs and CSOs,8063
Alive and kicking,NGOs,,NGOs and CSOs,3428
All for Peace And Dignity,NGOs,International NGO,NGOs and CSOs,10260
All Girls Foundation for Development,NGOs,National NGO,NGOs and CSOs,7902
All Hands Volunteers,NGOs,International NGO,NGOs and CSOs,1108
All Hands Volunteers (previously Hands On Disaster Response),NGOs,,NGOs and CSOs,NA
All Survivors Project,NGOs,,,11896
Alliance For Action Aid,NGOs,International NGO,NGOs and CSOs,8942
Alliance for International Medical Action,NGOs,International NGO,NGOs and CSOs,1937
Alliance Nationale Contre la Faim et la Malnutrition,Undefined,,Other,6884
Allianz Mission,NGOs,,NGOs and CSOs,3254
Almanar Voluntary Organization,NGOs,Local NGO,NGOs and CSOs,1487
Almanara Humanitarian Charitable Society,Undefined,,Other,8908
Almasheesh Organization for Development and Creative Art,NGOs,National NGO,NGOs and CSOs,6542
Almassar Charity organization for Nomadâ€™s Development and Environmental Conservation,NGOs,,,NA
Almassar Charity organization for Nomad’s Development and Environmental Conservation,NGOs,National NGO,NGOs and CSOs,5823
Alnour Wal Amal Association,NGOs,,NGOs and CSOs,5370
Alola Foundation,NGOs,,NGOs and CSOs,4457
Alpha Ujuvi,NGOs,,NGOs and CSOs,4274
Alpistan,NGOs,,NGOs and CSOs,717
ALPS Resilience,NGOs,Southern International NGO,NGOs and CSOs,12240
Alsalam Organization for Rehabilitation and Development,NGOs,Local/National NGO,NGOs and CSOs,1039
Alseeraj for Development and Healthcare,NGOs,,,6715
AlSham Assocation,NGOs,National NGO,NGOs and CSOs,11012
Alshroog Organization for Social and Culture Development,Undefined,,Other,5898
Alshrooq Organisation for Social and Cultural Development,NGOs,National NGO,NGOs and CSOs,2970
Alternative,other,,Other,3798
Alternative/SCF-UK,NGOs,,NGOs and CSOs,2033
ALWAHAH FOR EDUCATION and WELFARE Foundation,NGOs,,,11344
Alyateem Development Foundation,NGOs,Undefined NGO,NGOs and CSOs,8793
Aman Jordanian Association,NGOs,,NGOs and CSOs,1246
Aman Organization,NGOs,,NGOs and CSOs,743
AMAR International Charitable Foundation,NGOs,International NGO,NGOs and CSOs,1350
AMEL - Lebanese Association for Popular Action,NGOs,National NGO,NGOs and CSOs,3916
America's Development Foundation,foundations,,NGOs and CSOs,4102
American Academy of Pediatrics,academia/think/research,,Other,333
American Bar Association,private sector corporations,,Other,5343
American Center for International Labor,NGOs,,NGOs and CSOs,3530
American Charities for Palestine,NGOs,,NGOs and CSOs,5195
American Council for Voluntary International Action,NGOs,,NGOs and CSOs,4655
American Friends Service Committee,NGOs,,NGOs and CSOs,3034
American Institutes for Research,academia/think/research,,NGOs and CSOs,1934
American Jewish Joint Distribution Committee,private individual/organisation,,NGOs and CSOs,2900
American Jewish World Service,NGOs,,NGOs and CSOs,2901
American Lebanese Language Center,other,,Other,NA
American Lebanese Language Center - International House Beirut,private sector corporations,,Other,8678
