id,amountUSD,budgetYear,childFlowIds,contributionType,createdAt,date,decisionDate,description,grandBargainEarmarkingType,exchangeRate,firstReportedDate,flowType,keywords,newMoney,originalAmount,originalCurrency,method,parentFlowId,status,updatedAt,versionId,boundary,onBoundary,refCode,sourceObjects_Location.id,sourceObjects_Location.name,sourceObjects_Location.behavior,sourceObjects_Location.organizationTypes,sourceObjects_Location.organizationSubTypes,sourceObjects_Organization.id,sourceObjects_Organization.name,sourceObjects_Organization.behavior,sourceObjects_Organization.organizationTypes,sourceObjects_Organization.organizationSubTypes,sourceObjects_UsageYear.id,sourceObjects_UsageYear.name,sourceObjects_UsageYear.behavior,sourceObjects_UsageYear.organizationTypes,sourceObjects_UsageYear.organizationSubTypes,sourceObjects_GlobalCluster.id,sourceObjects_GlobalCluster.name,sourceObjects_GlobalCluster.behavior,sourceObjects_GlobalCluster.organizationTypes,sourceObjects_GlobalCluster.organizationSubTypes,sourceObjects_Plan.id,sourceObjects_Plan.name,sourceObjects_Plan.behavior,sourceObjects_Plan.organizationTypes,sourceObjects_Plan.organizationSubTypes,destinationObjects_GlobalCluster.id,destinationObjects_GlobalCluster.name,destinationObjects_GlobalCluster.behavior,destinationObjects_GlobalCluster.organizationTypes,destinationObjects_GlobalCluster.organizationSubTypes,destinationObjects_Location.id,destinationObjects_Location.name,destinationObjects_Location.behavior,destinationObjects_Location.organizationTypes,destinationObjects_Location.organizationSubTypes,destinationObjects_Organization.id,destinationObjects_Organization.name,destinationObjects_Organization.behavior,destinationObjects_Organization.organizationTypes,destinationObjects_Organization.organizationSubTypes,destinationObjects_UsageYear.id,destinationObjects_UsageYear.name,destinationObjects_UsageYear.behavior,destinationObjects_UsageYear.organizationTypes,destinationObjects_UsageYear.organizationSubTypes,destinationObjects_GlobalCluster.code,destinationObjects_Location.code,destinationObjects_Organization.code,destinationObjects_Plan.id,destinationObjects_Plan.name,destinationObjects_Plan.behavior,destinationObjects_Plan.organizationTypes,destinationObjects_Plan.code,destinationObjects_Project.id,destinationObjects_Project.name,destinationObjects_Project.behavior,destinationObjects_Project.organizationTypes,destinationObjects_Project.code,destinationObjects_UsageYear.code,destinationObjects_Emergency.id,destinationObjects_Emergency.name,destinationObjects_Emergency.behavior,destinationObjects_Emergency.organizationTypes,destinationObjects_Emergency.organizationSubTypes,destinationObjects_Emergency.code,destinationObjects_Plan.organizationSubTypes,destinationObjects_Project.organizationSubTypes
10339,18254,2001,,financial,2002-08-28T00:00:00Z,2001-02-22T00:00:00Z,2001-02-22T00:00:00Z,Medical care in Austrian hospitals,,,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,273280,ATS,Traditional aid,,commitment,2002-08-28T00:00:00Z,1,incoming,single,,15,Austria,single,,,4546,"Austria, Government of",single,Government,National government,22,2001,single,,,,,,,,,,,,,7,Health,single,,,3,Albania,single,,,3775,Friedensdorf International,single,NGO,International,22,2001,single,,,,,,,,,,,,,,,,,10,Southeastern Europe 2000 - 2002,single,,,,,
10340,13012,2001,,financial,2002-08-28T00:00:00Z,2001-05-16T00:00:00Z,2001-05-16T00:00:00Z,Reconstruction of a school in Sanga Mamba,,,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,2e+05,ATS,Traditional aid,,commitment,2002-08-28T00:00:00Z,1,incoming,single,,15,Austria,single,,,4546,"Austria, Government of",single,Government,National government,22,2001,single,,,,,,,,,,,,,3,Education,single,,,52,"Congo, The Democratic Republic of the",single,,,3202,Sr. Hildegard Litzlhammer,single,NGO,National,22,2001,single,,,,,,,,,,,,,,,,,,,,,,,,
1036,36765,2001,,financial,2001-04-05T00:00:00Z,2001-02-21T00:00:00Z,2001-02-21T00:00:00Z,Revitalisation of primary health services and vaccination,,,2001-02-13T00:00:00Z,Standard,Humanitarian aid,TRUE,,,Traditional aid,,paid,2002-03-13T00:00:00Z,1,incoming,single,ECHO/COD/210/2001/01000,,,,,,2966,European Commission,single,Inter-governmental,,22,2001,single,,,,,,,,,,,,,7,Health,single,,,52,"Congo, The Democratic Republic of the",single,,,2915,United Nations Children's Fund,single,UN agency,,22,2001,single,,,NA,NA,NA,40,Democratic Republic of the Congo 2001,single,,NA,185,Revitalisation of primary health services and vaccination,single,,DRC-01-1/N01,NA,,,,,,,,
10380,13012,2000,,financial,2002-08-29T00:00:00Z,2001-05-21T00:00:00Z,2001-05-21T00:00:00Z,Relief items for refugees,,,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,2e+05,ATS,Traditional aid,,commitment,2002-08-29T00:00:00Z,1,incoming,single,,15,Austria,single,,,4546,"Austria, Government of",single,Government,National government,22,2001,single,,,,,,,,,,,,,26479,Multi-sector,single,,,52,"Congo, The Democratic Republic of the",single,,,8506,CARITAS / Catholic Relief Services,single,Other,,22,2001,single,,,,,,,,,,,,,,,,,,,,,,,,
10383,30088,2000,,financial,2002-08-29T00:00:00Z,2001-09-24T00:00:00Z,2001-09-24T00:00:00Z,Medical treatment in Austrian hospitals,,,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,455525,ATS,Traditional aid,,commitment,2002-08-29T00:00:00Z,1,incoming,single,,15,Austria,single,,,4546,"Austria, Government of",single,Government,National government,22,2001,single,,,,,,,,,,,,,7,Health,single,,,3,Albania,single,,,3775,Friedensdorf International,single,NGO,International,22,2001,single,,,,,,,,,,,,,,,,,10,Southeastern Europe 2000 - 2002,single,,,,,
10384,30088,2001,,financial,2002-08-29T00:00:00Z,2001-09-24T00:00:00Z,2001-09-24T00:00:00Z,Medical treatment in Austrian hospitals,,,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,455525,ATS,Traditional aid,,commitment,2002-08-29T00:00:00Z,1,incoming,single,,15,Austria,single,,,4546,"Austria, Government of",single,Government,National government,22,2001,single,,,,,,,,,,,,,7,Health,single,,,183,Romania,single,,,3775,Friedensdorf International,single,NGO,International,22,2001,single,,,,,,,,,,,,,,,,,,,,,,,,
10385,1928,2001,,financial,2002-08-29T00:00:00Z,2001-09-24T00:00:00Z,2001-09-24T00:00:00Z,Recreation for children,,,2002-08-28T00:00:00Z,Standard,Humanitarian aid|Belarus 2001,TRUE,30000,ATS,Traditional aid,,commitment,2002-08-29T00:00:00Z,1,incoming,single,,15,Austria,single,,,4546,"Austria, Government of",single,Government,National government,22,2001,single,,,,,,,,,,,,,7,Health,single,,,21,Belarus,single,,,8506,CARITAS / Catholic Relief Services,single,Other,,22,2001,single,,,,,,,,,,,,,,,,,,,,,,,,
10386,2332,2001,,financial,2002-08-29T00:00:00Z,2001-03-15T00:00:00Z,2001-03-15T00:00:00Z,Construction of a school,,,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,35000,ATS,Traditional aid,,commitment,2002-08-29T00:00:00Z,1,incoming,single,,15,Austria,single,,,4546,"Austria, Government of",single,Government,National government,22,2001,single,,,,,,,,,,,,,3,Education,single,,,49,Colombia,single,,,71,Sr. Elfride Jagers-berger,single,Private organization/foundation,International organization/foundation/individual,22,2001,single,,,,,,,,,,,,,,,,,,,,,,,,
10387,19815,2001,,financial,2002-08-29T00:00:00Z,2001-11-26T00:00:00Z,2001-11-26T00:00:00Z,Construction of schools,,,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,3e+05,ATS,Traditional aid,,commitment,2002-08-29T00:00:00Z,1,incoming,single,,15,Austria,single,,,4546,"Austria, Government of",single,Government,National government,22,2001,single,,,,,,,,,,,,,3,Education,single,,,49,Colombia,single,,,2648,Hilfswerk Austria International,single,NGO,International,22,2001,single,,,,,,,,,,,,,,,,,,,,,,,,
10388,19417,2001,,financial,2002-08-29T00:00:00Z,2001-12-10T00:00:00Z,2001-12-10T00:00:00Z,Derra integrated rural development project,,,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,3e+05,ATS,Traditional aid,,commitment,2002-08-29T00:00:00Z,1,incoming,single,,15,Austria,single,,,4546,"Austria, Government of",single,Government,National government,22,2001,single,,,,,,,,,,,,,26479,Multi-sector,single,,,71,Ethiopia,single,,,3212,Menschen für,single,NGO,International,22,2001,single,,,,,,,,,,,,,,,,,,,,,,,,
10389,6671,2001,,financial,2002-08-29T00:00:00Z,2001-09-13T00:00:00Z,2001-09-13T00:00:00Z,Medical treatment for a hospital,,,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,1e+05,ATS,Traditional aid,,commitment,2002-08-29T00:00:00Z,1,incoming,single,,15,Austria,single,,,4546,"Austria, Government of",single,Government,National government,22,2001,single,,,,,,,,,,,,,7,Health,single,,,116,Kenya,single,,,3210,Christoffel-Blindenmission,single,NGO,International,22,2001,single,,,,,,,,,,,,,,,,,13,Kenya Drought 2001,single,,,,,
10390,2312,2001,,financial,2002-08-29T00:00:00Z,2001-11-13T00:00:00Z,2001-11-13T00:00:00Z,Assistance to refugees,,,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,35000,ATS,Traditional aid,,commitment,2002-08-29T00:00:00Z,1,incoming,single,,15,Austria,single,,,4546,"Austria, Government of",single,Government,National government,22,2001,single,,,,,,,,,,,,,26479,Multi-sector,single,,,28,Bosnia and Herzegovina,single,,,3213,öö Volkshilfe,single,NGO,International,22,2001,single,,,,,,,,,,,,,,,,,10,Southeastern Europe 2000 - 2002,single,,,,,
10392,19417,2001,,financial,2002-08-29T00:00:00Z,2001-07-12T00:00:00Z,2001-07-12T00:00:00Z,Assistance of a school,,,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,3e+05,ATS,Traditional aid,,commitment,2002-08-29T00:00:00Z,1,incoming,single,,15,Austria,single,,,4546,"Austria, Government of",single,Government,National government,22,2001,single,,,,,,,,,,,,,3,Education,single,,,32,Brazil,single,,,3214,Ft. Hubert Leeb,single,Other,,22,2001,single,,,,,,,,,,,,,,,,,,,,,,,,
10393,4954,2001,,financial,2002-08-29T00:00:00Z,2001-09-13T00:00:00Z,2001-09-13T00:00:00Z,Assistance of homeless persons,,,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,75000,ATS,Traditional aid,,commitment,2002-08-29T00:00:00Z,1,incoming,single,,15,Austria,single,,,4546,"Austria, Government of",single,Government,National government,22,2001,single,,,,,,,,,,,,,4,Emergency Shelter and NFI,single,,,32,Brazil,single,,,4543,Private (individuals & organizations),single,Private organization/foundation,International organization/foundation/individual,22,2001,single,,,,,,,,,,,,,,,,,,,,,,,,
10394,20712,2001,,financial,2002-08-29T00:00:00Z,2001-12-10T00:00:00Z,2001-12-10T00:00:00Z,Construction of a school,,,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,320000,ATS,Traditional aid,,commitment,2002-08-29T00:00:00Z,1,incoming,single,,15,Austria,single,,,4546,"Austria, Government of",single,Government,National government,22,2001,single,,,,,,,,,,,,,3,Education,single,,,32,Brazil,single,,,3216,Ft. Josef Schröger,single,Other,,22,2001,single,,,,,,,,,,,,,,,,,,,,,,,,
10395,6506,2001,,financial,2002-08-29T00:00:00Z,2001-05-16T00:00:00Z,2001-05-16T00:00:00Z,Assistance of a school,,,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,1e+05,ATS,Traditional aid,,commitment,2002-08-29T00:00:00Z,1,incoming,single,,15,Austria,single,,,4546,"Austria, Government of",single,Government,National government,22,2001,single,,,,,,,,,,,,,3,Education,single,,,32,Brazil,single,,,3217,Ft. Jakob Krinzinger,single,Other,,22,2001,single,,,,,,,,,,,,,,,,,,,,,,,,
10396,13324,2001,,financial,2002-08-29T00:00:00Z,2001-03-22T00:00:00Z,2001-03-22T00:00:00Z,Assistance of a school,,,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,2e+05,ATS,Traditional aid,,commitment,2002-08-29T00:00:00Z,1,incoming,single,,15,Austria,single,,,4546,"Austria, Government of",single,Government,National government,22,2001,single,,,,,,,,,,,,,3,Education,single,,,103,India,single,,,3534,Anna Lindh Foundation,single,Private organization/foundation,International organization/foundation/individual,22,2001,single,,,,,,,,,,,,,,,,,,,,,,,,
10397,26684,2001,,financial,2002-08-29T00:00:00Z,2001-10-08T00:00:00Z,2001-10-08T00:00:00Z,Construction of a school,,,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,4e+05,ATS,Traditional aid,,commitment,2002-08-29T00:00:00Z,1,incoming,single,,15,Austria,single,,,4546,"Austria, Government of",single,Government,National government,22,2001,single,,,,,,,,,,,,,3,Education,single,,,103,India,single,,,4003,Diocese of Ambikapur,single,NGO,Local,22,2001,single,,,,,,,,,,,,,,,,,,,,,,,,
10398,13324,2001,,financial,2002-08-29T00:00:00Z,2001-04-23T00:00:00Z,2001-04-23T00:00:00Z,Construction of a school,,,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,2e+05,ATS,Traditional aid,,commitment,2002-08-29T00:00:00Z,1,incoming,single,,15,Austria,single,,,4546,"Austria, Government of",single,Government,National government,22,2001,single,,,,,,,,,,,,,3,Education,single,,,152,Mozambique,single,,,4004,österreichisches Nord-Süd-Institut,single,Private organization/foundation,International organization/foundation/individual,22,2001,single,,,,,,,,,,,,,,,,,,,,,,,,
10399,9993,2001,,financial,2002-08-29T00:00:00Z,2001-04-23T00:00:00Z,2001-04-23T00:00:00Z,Electrification,,,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,150000,ATS,Traditional aid,,commitment,2002-08-29T00:00:00Z,1,incoming,single,,15,Austria,single,,,4546,"Austria, Government of",single,Government,National government,22,2001,single,,,,,,,,,,,,,2,Early Recovery,single,,,161,Nicaragua,single,,,4005,"Eine Welt Kreis, Zell an der Pram",single,NGO,International,22,2001,single,,,,,,,,,,,,,,,,,,,,,,,,
104,161502,2001,,financial,2001-03-14T00:00:00Z,2001-02-13T00:00:00Z,2001-02-13T00:00:00Z,Cash to meet basic medical needs of IDPs and refugees (GUINEA),,,2001-02-16T00:00:00Z,Standard,Humanitarian aid,TRUE,344000,DEM,Traditional aid,,commitment,2001-10-10T00:00:00Z,1,incoming,single,GIN 2/01,83,Germany,single,,,4306,"Germany, Government of",single,Government,National government,22,2001,single,,,,,,,,,,,,,7,Health,single,,,,,,,,3777,Médecins du Monde,single,NGO,International,22,2001,single,,,,,,,,,,,,,,,,,9,West Africa 2001-2002,single,,,,,
10400,10007,2001,,financial,2002-08-30T00:00:00Z,2001-09-19T00:00:00Z,2001-09-19T00:00:00Z,Aid project for persons with impaired hearing,,,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,150000,ATS,Traditional aid,,commitment,2002-08-30T00:00:00Z,1,incoming,single,,15,Austria,single,,,4546,"Austria, Government of",single,Government,National government,22,2001,single,,,,,,,,,,,,,26479,Multi-sector,single,,,176,Philippines,single,,,4006,Fishermen of Christ Incorporated Philippines,single,Private organization/foundation,Local/National organization/foundation/individual,22,2001,single,,,,,,,,,,,,,,,,,,,,,,,,
10401,5294,2001,,financial,2002-08-30T00:00:00Z,2001-11-21T00:00:00Z,2001-11-21T00:00:00Z,Medical equipment for a hospital,,,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,80150,ATS,Traditional aid,,commitment,2002-08-30T00:00:00Z,1,incoming,single,,15,Austria,single,,,4546,"Austria, Government of",single,Government,National government,22,2001,single,,,,,,,,,,,,,7,Health,single,,,184,Russian Federation,single,,,,,,,,22,2001,single,,,,,,,,,,,,,,,,,,,,,,,,
10402,7266,2001,,financial,2002-08-30T00:00:00Z,2001-11-05T00:00:00Z,2001-11-05T00:00:00Z,Construction of a school,,,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,110000,ATS,Traditional aid,,commitment,2002-08-30T00:00:00Z,1,incoming,single,,15,Austria,single,,,4546,"Austria, Government of",single,Government,National government,22,2001,single,,,,,,,,,,,,,3,Education,single,,,210,Sri Lanka,single,,,76,Ft. Bernard Kurera,single,Other,,22,2001,single,,,,,,,,,,,,,,,,,,,,,,,,
10403,12853,2001,,financial,2002-08-30T00:00:00Z,2001-04-23T00:00:00Z,2001-04-23T00:00:00Z,Assistance of a school,,,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,2e+05,ATS,Traditional aid,,commitment,2002-08-30T00:00:00Z,1,incoming,single,,15,Austria,single,,,4546,"Austria, Government of",single,Government,National government,22,2001,single,,,,,,,,,,,,,3,Education,single,,,207,South Africa,single,,,4007,Ft. Karl Kuppelwieser,single,Other,,22,2001,single,,,,,,,,,,,,,,,,,,,,,,,,
10404,6662,2001,,financial,2002-08-30T00:00:00Z,2001-03-21T00:00:00Z,2001-03-21T00:00:00Z,Relief items for refugees,,,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,1e+05,ATS,Traditional aid,,commitment,2002-08-30T00:00:00Z,1,incoming,single,,15,Austria,single,,,4546,"Austria, Government of",single,Government,National government,22,2001,single,,,,,,,,,,,,,26479,Multi-sector,single,,,161,Nicaragua,single,,,77,Initiative Dritte Welt Braunau,single,NGO,International,22,2001,single,,,,,,,,,,,,,,,,,,,,,,,,
10405,16181,2001,,financial,2002-08-30T00:00:00Z,2001-04-12T00:00:00Z,2001-04-12T00:00:00Z,Assistance of rural population,,,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,250000,ATS,Traditional aid,,commitment,2002-08-30T00:00:00Z,1,incoming,single,,15,Austria,single,,,4546,"Austria, Government of",single,Government,National government,22,2001,single,,,,,,,,,,,,,26479,Multi-sector,single,,,221,"Tanzania, United Republic of",single,,,69,Katholische Männerbewegung,single,NGO,International,22,2001,single,,,,,,,,,,,,,,,,,,,,,,,,
10406,15713,2001,,financial,2002-08-30T00:00:00Z,2000-12-18T00:00:00Z,2000-12-18T00:00:00Z,Assistance of schools,,,2002-08-28T00:00:00Z,Standard,Humanitarian aid,TRUE,250000,ATS,Traditional aid,,commitment,2002-08-30T00:00:00Z,1,incoming,single,,15,Austria,single,,,4546,"Austria, Government of",single,Government,National government,22,2001,single,,,,,,,,,,,,,3,Education,single,,,183,Romania,single,,,3208,Eine Welt-öö Landlerhilfe,single,Private organization/foundation,International organization/foundation/individual,22,2001,single,,,,,,,,,,,,,,,,,,,,,,,,
1048,56000,2001,,financial,2001-04-05T00:00:00Z,2001-02-13T00:00:00Z,2001-02-13T00:00:00Z,Rapid educational initiative for internally displaced children in DRC,,,2001-02-13T00:00:00Z,Standard,Humanitarian aid,FALSE,,,Traditional aid,,paid,2001-04-05T00:00:00Z,1,internal,single,,,,,,,4058,United States Fund for UNICEF,single,Private organization/foundation,International organization/foundation/individual,22,2001,single,,,,,,,,,,,,,3,Education,single,,,52,"Congo, The Democratic Republic of the",single,,,2915,United Nations Children's Fund,single,UN agency,,22,2001,single,,,NA,NA,NA,40,Democratic Republic of the Congo 2001,single,,NA,206,Rapid educational initiative for internally displaced children in DRC,single,,DRC-01-1/N21,NA,,,,,,,,
